zipcode,lat,lon
00601,18.18004,-66.75218
00602,18.36073,-67.17517
00603,18.45439,-67.12202
00606,18.16724,-66.93828
00610,18.29032,-67.12243
00612,18.40699,-66.70803
00616,18.41753,-66.66814
00617,18.44124,-66.55917
00622,17.99174,-67.15248
00623,18.08355,-67.15417
00624,18.06465,-66.71823
00627,18.419,-66.86033
00631,18.18555,-66.83327
00637,18.07982,-66.94274
00638,18.28904,-66.5151
00641,18.26408,-66.71376
00646,18.43401,-66.2833
00647,17.96612,-66.94383
00650,18.34321,-66.58601
00652,18.45542,-66.60635
00653,17.98574,-66.89033
00656,18.0528,-66.79182
00659,18.41069,-66.79648
00660,18.13418,-67.11402
00662,18.46208,-67.01445
00664,18.21152,-66.5889
00667,18.01227,-67.04089
00669,18.27102,-66.86982
00670,18.23777,-66.98877
00674,18.42123,-66.49004
00676,18.3779,-67.08083
00677,18.3357,-67.23168
00678,18.43269,-66.92812
00680,18.16327,-67.36195
00682,18.22117,-67.1538
00683,18.10998,-67.0373
00685,18.33625,-66.97225
00687,18.31708,-66.4203
00688,18.38056,-66.62425
00690,18.49567,-67.09825
00692,18.40845,-66.33691
00693,18.42132,-66.40012
00694,18.48329,-66.39261
00698,18.06728,-66.85273
00703,18.24841,-66.13119
00704,17.96719,-66.22017
00705,18.12946,-66.26477
00707,18.01814,-65.92201
00714,17.99854,-66.05606
00715,18.01172,-66.55985
00716,17.9994,-66.60007
00717,18.00333,-66.61331
00718,18.2333,-65.76108
00719,18.2888,-66.25336
00720,18.21772,-66.42817
00723,18.03237,-66.01233
00725,18.21858,-66.04275
00727,18.21495,-66.07356
00728,18.00627,-66.6612
00729,18.33114,-65.88722
00730,18.03091,-66.61659
00731,18.09775,-66.63355
00735,18.25365,-65.68306
00736,18.10652,-66.15258
00738,18.31828,-65.66785
00739,18.17681,-66.16055
00740,18.33221,-65.63431
00741,18.16564,-65.75563
00745,18.34827,-65.8172
00751,18.01023,-66.24751
00754,18.1457,-65.97607
00757,17.99727,-66.38891
00765,18.12851,-65.44093
00766,18.13299,-66.47703
00767,18.07053,-65.89604
00769,18.097,-66.36101
00771,18.18748,-65.86931
00772,18.43267,-65.90836
00773,18.34173,-65.7274
00775,18.31347,-65.29017
00777,18.22356,-65.90881
00778,18.26338,-65.97936
00780,18.10417,-66.57174
00782,18.22544,-66.22216
00783,18.3041,-66.32847
00784,18.00543,-66.13392
00786,18.15536,-66.22992
00791,18.14069,-65.818
00794,18.20155,-66.30872
00795,18.05931,-66.50178
00901,18.46532,-66.10485
00906,18.46446,-66.09499
00907,18.45313,-66.07778
00909,18.44153,-66.06723
00911,18.45135,-66.05631
00912,18.44534,-66.06018
00913,18.45022,-66.04267
00915,18.43691,-66.04562
00917,18.4214,-66.05005
00918,18.42138,-66.06588
00920,18.41571,-66.08889
00921,18.39224,-66.08853
00923,18.40953,-66.03866
00924,18.39827,-66.01289
00925,18.40031,-66.05055
00926,18.3462,-66.05234
00927,18.38875,-66.07189
00934,18.41138,-66.12399
00936,18.39548,-66.07376
00949,18.43017,-66.20883
00950,18.46208,-66.2376
00951,18.42842,-66.25661
00952,18.42748,-66.18207
00953,18.36312,-66.2475
00956,18.32082,-66.17175
00957,18.36735,-66.18869
00959,18.38485,-66.15583
00960,18.41701,-66.14446
00961,18.41011,-66.16538
00962,18.43904,-66.13928
00965,18.43385,-66.11486
00966,18.40226,-66.11757
00968,18.40617,-66.10127
00969,18.36751,-66.10852
00971,18.32131,-66.11811
00976,18.33844,-65.9921
00979,18.43649,-66.01699
00982,18.40992,-65.9917
00983,18.41804,-65.97632
00985,18.40825,-65.94842
00987,18.33935,-65.94313
01001,42.06258,-72.6259
01002,42.37492,-72.4621
01003,42.39192,-72.52479
01005,42.42018,-72.10615
01007,42.27875,-72.40036
01008,42.18428,-72.95203
01009,42.20972,-72.33971
01010,42.12863,-72.20624
01011,42.29653,-72.95969
01012,42.38698,-72.84632
01013,42.1595,-72.60824
01020,42.17637,-72.56537
01022,42.19731,-72.54267
01026,42.4633,-72.92024
01027,42.29508,-72.74309
01028,42.05968,-72.49908
01029,42.19632,-73.04836
01030,42.06886,-72.67999
01031,42.32933,-72.19822
01032,42.45029,-72.81301
01033,42.26081,-72.50363
01034,42.08485,-72.95765
01035,42.35564,-72.56921
01036,42.06369,-72.4159
01037,42.37011,-72.19772
01038,42.3855,-72.60699
01039,42.40629,-72.69362
01040,42.21256,-72.64107
01050,42.28784,-72.86986
01053,42.35348,-72.71161
01054,42.47363,-72.48746
01056,42.19212,-72.45804
01057,42.09164,-72.32431
01060,42.32228,-72.63129
